Level,Type,Abbreviations,ExpandAfter,ExpandAfterTypingDelimiters,AbbreviationPosition,Text,Label
0,1,,2,%,2,,sitelen pona Emoji
1,0,z2,0,,0,:zz_n::zz_n:,zz x2
1,0,z3,0,,0,:zz_n::zz_n::zz_n:,zz x3
1,0,z4,0,,0,:zz_n::zz_n::zz_n::zz_n:,zz x4
1,0,.,0,,0,:sike_lili_n:,middle dot
1,0,a,0,,0,:a_n:,a
1,0,a1,0,,0,:a1_n:,a1
1,0,a2,0,,0,:a2_n:,a2
1,0,a3,0,,0,:a3_n:,a3
1,0,a4,0,,0,:a4_n:,a4
1,0,akesi,0,,0,:akesi_n:,akesi
1,0,akesi1,0,,0,:akesi1_n:,akesi1
1,0,ala,0,,0,:ala_n:,ala
1,0,alasa,0,,0,:alasa_n:,alasa
1,0,ale,0,,0,:ale_n:,ale
1,0,anpa,0,,0,:anpa_n:,anpa
1,0,ante,0,,0,:ante_n:,ante
1,0,anu,0,,0,:anu_n:,anu
1,0,apeja,0,,0,:apeja_n:,apeja
1,0,awen,0,,0,:awen_n:,awen
1,0,e,0,,0,:e_n:,e
1,0,en,0,,0,:en_n:,en
1,0,epiku,0,,0,:epiku_n:,epiku
1,0,esun,0,,0,:esun_n:,esun
1,0,ijo,0,,0,:ijo_n:,ijo
1,0,ike,0,,0,:ike_n:,ike
1,0,ilo,0,,0,:ilo_n:,ilo
1,0,insa,0,,0,:insa_n:,insa
1,0,jaki9,0,,0,:jaki_n:,jaki
1,0,jaki1,0,,0,:jaki1_n:,jaki1
1,0,jaki2,0,,0,:jaki2_n:,jaki2
1,0,jaki3,0,,0,:jaki3_n:,jaki3
1,0,jaki4,0,,0,:jaki4_n:,jaki4
1,0,jaki5,0,,0,:jaki5_n:,jaki5
1,0,jaki6,0,,0,:jaki6_n:,jaki6
1,0,jaki7,0,,0,:jaki7_n:,jaki7
1,0,jaki8,0,,0,:jaki8_n:,jaki8
1,0,jan,0,,0,:jan_n:,jan
1,0,jasima,0,,0,:jasima_n:,jasima
1,0,jelo,0,,0,:jelo_n:,jelo
1,0,jo,0,,0,:jo_n:,jo
1,0,kala,0,,0,:kala_n:,kala
1,0,kala1,0,,0,:kala1_n:,kala1
1,0,kalama,0,,0,:kalama_n:,kalama
1,0,kama,0,,0,:kama_n:,kama
1,0,kasi,0,,0,:kasi_n:,kasi
1,0,ken,0,,0,:ken_n:,ken
1,0,kepeken,0,,0,:kepeken_n:,kepeken
1,0,kijetesantakalu,0,,0,:kijetesantakalu_n:,kijetesantakalu
1,0,kiki,0,,0,:kiki_n:,kiki
1,0,kili,0,,0,:kili_n:,kili
1,0,kin,0,,0,:kin_n:,kin
1,0,kipisi,0,,0,:kipisi_n:,kipisi
1,0,kiwen,0,,0,:kiwen_n:,kiwen
1,0,ko1,0,,0,:ko_n:,ko
1,0,ko2,0,,0,:ko2_n:,ko2
1,0,ko3,0,,0,:ko3_n:,ko3
1,0,ko4,0,,0,:ko4_n:,ko4
1,0,ko5,0,,0,:ko5_n:,ko5
1,0,ko6,0,,0,:ko6_n:,ko6
1,0,ko7,0,,0,:ko7_n:,ko7
1,0,ko8,0,,0,:ko8_n:,ko8
1,0,ko9,0,,0,:ko9_n:,ko9
1,0,kokosila,0,,0,:kokosila_n:,kokosila
1,0,kon,0,,0,:kon_n:,kon
1,0,ku,0,,0,:ku_n:,ku
1,0,kule,0,,0,:kule_n:,kule
1,0,kulupu,0,,0,:kulupu_n:,kulupu
1,0,kute,0,,0,:kute_n:,kute
1,0,la,0,,0,:la_n:,la
1,0,lanpan,0,,0,:lanpan_n:,lanpan
1,0,lanpan1,0,,0,:lanpan1_n:,lanpan1
1,0,lape,0,,0,:lape_n:,lape
1,0,laso,0,,0,:laso_n:,laso
1,0,lawa,0,,0,:lawa_n:,lawa
1,0,leko,0,,0,:leko_n:,leko
1,0,len,0,,0,:len_n:,len
1,0,lete,0,,0,:lete_n:,lete
1,0,li,0,,0,:li_n:,li
1,0,lili,0,,0,:lili_n:,lili
1,0,linja,0,,0,:linja_n:,linja
1,0,linluwi,0,,0,:linluwi_n:,linluwi
1,0,linluwi1,0,,0,:linluwi1_n:,linluwi1
1,0,lipu,0,,0,:lipu_n:,lipu
1,0,loje,0,,0,:loje_n:,loje
1,0,lon,0,,0,:lon_n:,lon
1,0,luka,0,,0,:luka_n:,luka
1,0,lukin,0,,0,:lukin_n:,lukin
1,0,lupa,0,,0,:lupa_n:,lupa
1,0,ma,0,,0,:ma_n:,ma
1,0,majuna,0,,0,:majuna_n:,majuna
1,0,mama,0,,0,:mama_n:,mama
1,0,mani,0,,0,:mani_n:,mani
1,0,meli,0,,0,:meli_n:,meli
1,0,meli1,0,,0,:meli1_n:,meli1
1,0,meso,0,,0,:meso_n:,meso
1,0,mi,0,,0,:mi_n:,mi
1,0,mije,0,,0,:mije_n:,mije
1,0,mije1,0,,0,:mije1_n:,mije1
1,0,misikeke,0,,0,:misikeke_n:,misikeke
1,0,misikeke1,0,,0,:misikeke1_n:,misikeke1
1,0,moku,0,,0,:moku_n:,moku
1,0,moli,0,,0,:moli_n:,moli
1,0,monsi,0,,0,:monsi_n:,monsi
1,0,monsuta,0,,0,:monsuta_n:,monsuta
1,0,mu,0,,0,:mu_n:,mu
1,0,mu1,0,,0,:mu1_n:,mu1
1,0,mun,0,,0,:mun_n:,mun
1,0,musi,0,,0,:musi_n:,musi
1,0,mute,0,,0,:mute_n:,mute
1,0,mute1,0,,0,:mute1_n:,mute1
1,0,n,0,,0,:n_n:,n
1,0,namako,0,,0,:namako_n:,namako
1,0,namako1,0,,0,:namako1_n:,namako1
1,0,nanpa,0,,0,:nanpa_n:,nanpa
1,0,nasa,0,,0,:nasa_n:,nasa
1,0,nasin,0,,0,:nasin_n:,nasin
1,0,nena,0,,0,:nena_n:,nena
1,0,ni,0,,0,:ni_n:,ni
1,0,ni>,0,,0,:ni_e_n:,ni_e
1,0,ni^,0,,0,:ni_n_n:,ni_n
1,0,ni>^,0,,0,:ni_ne_n:,ni_ne
1,0,ni<^,0,,0,:ni_nw_n:,ni_nw
1,0,ni>v,0,,0,:ni_se_n:,ni_se
1,0,niv<,0,,0,:ni_sw_n:,ni_sw
1,0,ni<,0,,0,:ni_w_n:,ni_w
