Level,Type,Abbreviations,ExpandAfter,ExpandAfterTypingDelimiters,AbbreviationPosition,CaseSensitivity,ContentType,Text,Label
0,1,,2,{,2,0,0,,sitelen pona UCSUR
1,0,a,0,,0,,0,󱤀,a (F1900)
1,0,akesi,0,,0,,0,󱤁,akesi (F1901)
1,0,ala,0,,0,,0,󱤂,ala (F1902)
1,0,alasa,0,,0,,0,󱤃,alasa (F1903)
1,0,ale,0,,0,,0,󱤄,ale (F1904)
1,0,anpa,0,,0,,0,󱤅,anpa (F1905)
1,0,ante,0,,0,,0,󱤆,ante (F1906)
1,0,anu,0,,0,,0,󱤇,anu (F1907)
1,0,apeja,0,,0,,0,󱦡,apeja (F19A1)
1,0,awen,0,,0,,0,󱤈,awen (F1908)
1,0,:,0,,0,,0,󱦝,colon (F199D)
1,0,=,0,,0,,0,󱦒,combining cartouche extension (F1992)
1,0,+,0,,0,,0,󱦙,combining long glyph extension (F1999)
1,0,_,0,,0,,0,󱦔,combining long pi extension (F1994)
1,0,e,0,,0,,0,󱤉,e (F1909)
1,0,en,0,,0,,0,󱤊,en (F190A)
1,0,],0,,0,,0,󱦑,end of cartouche (F1991)
1,0,),0,,0,,0,󱦘,end of long glyph (F1998)
1,0,>,0,,0,,0,󱦛,end of reverse long glyph (F199B)
1,0,epiku,0,,0,,0,󱦃,epiku (F1983)
1,0,esun,0,,0,,0,󱤋,esun (F190B)
1,0,ijo,0,,0,,0,󱤌,ijo (F190C)
1,0,ike,0,,0,,0,󱤍,ike (F190D)
1,0,ilo,0,,0,,0,󱤎,ilo (F190E)
1,0,insa,0,,0,,0,󱤏,insa (F190F)
1,0,jaki,0,,0,,0,󱤐,jaki (F1910)
1,0,jan,0,,0,,0,󱤑,jan (F1911)
1,0,jasima,0,,0,,0,󱥿,jasima (F197F)
1,0,jelo,0,,0,,0,󱤒,jelo (F1912)
1,0,jo,0,,0,,0,󱤓,jo (F1913)
1,0,kala,0,,0,,0,󱤔,kala (F1914)
1,0,kalama,0,,0,,0,󱤕,kalama (F1915)
1,0,kama,0,,0,,0,󱤖,kama (F1916)
1,0,kasi,0,,0,,0,󱤗,kasi (F1917)
1,0,ken,0,,0,,0,󱤘,ken (F1918)
1,0,kepeken,0,,0,,0,󱤙,kepeken (F1919)
1,0,kijetesantakalu,0,,0,,0,󱦀,kijetesantakalu (F1980)
1,0,kili,0,,0,,0,󱤚,kili (F191A)
1,0,kin,0,,0,,0,󱥹,kin (F1979)
1,0,kipisi,0,,0,,0,󱥻,kipisi (F197B)
